Aar,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
januar,NA,NA,21857,17425,16214,19778,11260,15203,13547,21130,18421,20119,19335,18645,22943,23813,15492,14651,45631,77506,36121,64730,83464,57166,56119,44643,81869,87315,81457,76059,56837,69698,103308,141354,122610,111418,111362,140262,130897,139907,149179,180668,117420,83113,48637,57738,77215,71966,65553,60951,70992
februar,NA,NA,21943,14867,14960,16687,10025,14264,13913,22261,17421,17987,14865,14168,17299,20376,17314,17015,46773,75497,24315,72407,91190,60726,56795,44468,74700,85617,71178,81355,58879,70825,108942,140134,112277,107011,120508,133795,124793,127208,163871,178296,115801,51526,47039,65521,47839,89910,64545,52884,61476
marts,NA,NA,18720,11182,12659,12460,8031,5896,11218,19454,10990,12114,8613,8157,12127,16649,12654,17978,39803,58663,17965,69387,86627,40684,43188,40055,58014,71811,58434,59708,43773,63786,109002,116762,102262,84342,104144,122687,99658,108316,152495,140014,95737,36093,29484,43226,43628,70352,27689,48357,31904
april,NA,NA,13515,6919,9452,8885,3800,3600,7451,10210,7723,8284,4840,4871,7619,7124,6627,7552,29056,30269,10525,58006,57236,28135,21056,35646,44983,62928,45414,36592,33392,44926,87243,95692,80047,70397,77289,74793,91576,80242,129972,95494,46191,32379,19246,51388,25885,17913,15236,28909,24829
maj,NA,NA,15347,4672,9204,8079,2625,2708,6229,7663,7185,6528,4478,4171,5889,5333,3896,6106,27381,17986,7730,49778,38535,22898,15119,31807,40302,52419,38492,29671,27087,36203,77658,81535,62216,55504,52403,63310,79098,55180,101422,59748,21880,17068,13062,52851,17448,6391,8197,17649,13496
juni,NA,NA,15650,4952,6680,6897,2316,3738,5770,7487,7121,5951,4042,3939,5077,4521,2880,6181,27682,10543,6059,46533,33262,20722,13116,24135,42993,49405,36917,27398,25191,33379,78624,73542,57491,48855,46138,60199,75679,53341,84636,20251,17402,13771,10532,38845,9293,3309,7565,13332,9771
juli,NA,NA,14095,5308,5784,6594,2806,3874,5951,7580,7995,5379,3674,4354,5162,4728,2950,7274,29410,8294,7237,46272,31192,19215,14086,22393,46191,47172,36915,26621,26752,35019,90593,73338,56849,48937,49605,66006,77164,53296,80928,24778,20293,15036,10710,33591,6753,3275,7917,14719,10951
august,NA,NA,12990,5073,5895,8201,2774,4491,6453,8249,7679,5310,3796,4124,13336,5102,3279,9092,32442,6582,8710,48040,29214,20342,14844,26348,46117,44827,35474,25164,25946,35214,92451,72559,57875,53041,50693,65853,77127,46097,89673,31426,21542,18195,10771,35659,6338,4076,8894,13648,9554
september,NA,NA,11580,5966,5903,6774,2969,3114,7602,7747,7289,4645,4014,4282,13720,4797,2879,10258,34250,9601,10016,47134,27281,19602,15121,28509,44677,43990,33099,24175,26081,36119,93910,72017,61348,57923,53181,72387,77373,60805,89936,35081,24349,24204,18858,38056,9395,7714,10943,19723,15185
oktober,NA,NA,12438,8690,7121,9172,3721,3558,9854,8190,9432,5974,4768,5339,13008,5403,3034,15112,35177,11823,13244,49358,30703,20381,18341,36526,50388,48007,39436,28194,32963,47345,101518,80565,68509,67390,67674,84684,86831,78367,96332,46715,28094,27449,22727,38299,10279,12282,18809,27539,16232
november,NA,NA,14180,12521,9963,10104,5384,5370,13166,12538,12663,9436,7578,9270,14665,9885,4858,24206,43327,21584,23867,58082,39146,30999,24575,55797,61467,59847,48337,36302,45307,66478,112506,89948,84030,84907,83552,103878,105131,105065,117262,52483,31562,32429,26415,40277,18441,20794,25512,30153,21336
december,NA,NA,20155,15645,13328,12445,8606,8179,18016,13846,17672,16253,14922,16850,21105,16488,9049,40389,63592,51419,43331,74581,52597,50148,45206,85944,88854,87116,77558,62563,73363,97233,138335,131930,114256,124612,127478,153384,147152,159259,179410,70375,47341,59998,47463,64485,58421,37569,70767,60719,61596
Total_for_året ,NA,NA,192470,113220,117163,126076,64317,73995,119170,146355,131591,117980,94925,98170,151950,124219,84912,175814,454524,379767,209120,684308,600447,391018,337566,476271,680555,740454,602711,513802,475571,636225,1194090,1169376,979770,914337,944027,1141238,1172479,1067083,1435116,935329,587612,411261,304944,559936,330935,345551,331627,388583,347322
Gennemsnit_udregnet ,NA,NA,16039,9435,9764,10506,5360,6166,9931,12196,10966,9832,7910,8181,12663,10352,7076,14651,37877,31647,17427,57026,50037,32585,28131,39689,56713,61705,50226,42817,39631,53019,99508,97448,81648,76195,78669,95103,97707,88924,119593,77944,48968,34272,25412,46661,27578,28796,27636,32382,28944
Gennemsnit_fra_årsbogen,NA,NA,NA,NA,9764,10506,5360,6166,9931,12196,10966,10143,7909,8181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97707,88923,NA,NA,48968,34272,25411,46661,27577,28796,27635,32382,28943
Gennemsnit_for_året % ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,8,8,10,8,5,9,17,11,6,20,19,13,11,15,21,23,19,16,14,18,32,29,22,20,19,22,21,18,24,18,15,11,8,13,9,9,9,10,9
